Date,Open,High,Low,Close
10/24/2022,"1,330.22","1,369.79","1,324.75","1,351.91"
10/23/2022,"1,316.05","1,335.98","1,301.38","1,330.22"
10/22/2022,"1,302.46","1,319.02","1,295.00","1,316.05"
10/21/2022,"1,281.77","1,306.55","1,255.00","1,302.46"
10/20/2022,"1,293.98","1,310.00","1,271.74","1,281.77"
10/19/2022,"1,314.53","1,314.79","1,288.81","1,293.99"
10/18/2022,"1,330.45","1,340.54","1,287.75","1,314.44"
10/17/2022,"1,311.01","1,337.00","1,292.07","1,330.45"
10/16/2022,"1,280.75","1,314.50","1,263.48","1,311.01"
10/15/2022,"1,302.20","1,302.27","1,278.00","1,280.85"
10/14/2022,"1,293.78","1,342.09","1,282.72","1,302.20"
10/13/2022,"1,298.92","1,302.57","1,194.37","1,294.30"
10/12/2022,"1,282.48","1,305.46","1,274.39","1,298.57"
10/11/2022,"1,307.39","1,309.38","1,268.87","1,282.78"
10/10/2022,"1,320.90","1,337.61","1,296.73","1,307.39"
10/9/2022,"1,325.20","1,328.96","1,305.00","1,320.90"
10/8/2022,"1,332.01","1,337.30","1,319.67","1,325.20"
10/7/2022,"1,364.00","1,364.00","1,318.02","1,332.01"
10/6/2022,"1,345.16","1,383.43","1,345.16","1,363.88"
10/5/2022,"1,361.75","1,367.10","1,316.26","1,346.06"
10/4/2022,"1,324.07","1,367.96","1,315.54","1,362.09"
10/3/2022,"1,303.74","1,329.64","1,264.34","1,323.92"
10/2/2022,"1,309.66","1,317.39","1,287.43","1,303.74"
10/1/2022,"1,331.24","1,333.78","1,303.59","1,309.66"
9/30/2022,"1,338.25","1,372.24","1,315.66","1,331.30"
9/29/2022,"1,351.19","1,354.71","1,289.61","1,338.25"
9/28/2022,"1,324.73","1,353.85","1,259.34","1,351.26"
9/27/2022,"1,325.06","1,399.29","1,305.12","1,324.42"
9/26/2022,"1,292.44","1,340.08","1,269.77","1,325.05"
9/25/2022,"1,342.22","1,342.25","1,283.90","1,293.03"
9/24/2022,"1,301.51","1,348.00","1,299.47","1,342.22"
9/23/2022,"1,324.00","1,356.71","1,263.26","1,301.98"
9/22/2022,"1,313.67","1,335.46","1,222.52","1,324.18"
9/21/2022,"1,343.06","1,410.00","1,307.81","1,313.67"
9/20/2022,"1,357.73","1,391.00","1,330.60","1,342.61"
9/19/2022,"1,370.86","1,371.92","1,282.05","1,357.73"
9/18/2022,"1,462.59","1,473.43","1,367.80","1,370.86"
9/17/2022,"1,436.00","1,474.87","1,409.84","1,462.59"
9/16/2022,"1,504.53","1,504.53","1,409.79","1,436.00"
