Date,Open,High,Low,Close
9/30/2022,0.4365,0.4415,0.4294,0.4303
9/29/2022,0.4399,0.4401,0.4282,0.4365
9/28/2022,0.4421,0.4432,0.4258,0.4397
9/27/2022,0.4441,0.4625,0.4378,0.4421
9/26/2022,0.4458,0.4506,0.4373,0.4441
9/25/2022,0.4608,0.4621,0.4443,0.4458
9/24/2022,0.4568,0.4687,0.4555,0.4608
9/23/2022,0.4615,0.4814,0.4463,0.457
9/22/2022,0.447,0.4663,0.431,0.4615
9/21/2022,0.4425,0.463,0.4341,0.4462
9/20/2022,0.4525,0.4553,0.4375,0.4425
9/19/2022,0.4626,0.4628,0.4326,0.4525
9/18/2022,0.4845,0.4894,0.4615,0.4623
9/17/2022,0.4671,0.4862,0.4642,0.4845
9/16/2022,0.4699,0.4699,0.4543,0.4671
9/15/2022,0.4799,0.4835,0.462,0.4698
9/14/2022,0.4708,0.4867,0.4614,0.4799
9/13/2022,0.51,0.5102,0.4628,0.4711
9/12/2022,0.5094,0.5199,0.4964,0.5102
9/11/2022,0.5108,0.5196,0.5017,0.5092
9/10/2022,0.4958,0.524,0.4927,0.5108
9/9/2022,0.4797,0.5045,0.4762,0.4955
9/8/2022,0.4798,0.4831,0.463,0.4797
9/7/2022,0.4652,0.4802,0.454,0.4798
9/6/2022,0.4958,0.5118,0.4605,0.4654
9/5/2022,0.4996,0.5073,0.4828,0.4958
9/4/2022,0.4813,0.5067,0.4762,0.4996
9/3/2022,0.4558,0.4855,0.4533,0.4813
9/2/2022,0.4567,0.4663,0.4492,0.4558
9/1/2022,0.4555,0.4615,0.4413,0.4565
8/31/2022,0.4541,0.463,0.4494,0.4556
8/30/2022,0.4491,0.4628,0.4396,0.4535
8/29/2022,0.4428,0.4496,0.4243,0.4491
8/28/2022,0.4462,0.4542,0.4369,0.4428
8/27/2022,0.4448,0.4511,0.4262,0.446
8/26/2022,0.473,0.4821,0.4388,0.4448
8/25/2022,0.4659,0.4739,0.4571,0.473
8/24/2022,0.4613,0.4695,0.4533,0.4659
8/23/2022,0.4541,0.4667,0.4459,0.4613
